ID,Marriage_Type,Age_at_Marriage,Gender,Education_Level,Caste_Match,Religion,Parental_Approval,Urban_Rural,Dowry_Exchanged,Marital_Satisfaction,Divorce_Status,Children_Count,Income_Level,Years_Since_Marriage,Spouse_Working,Inter-Caste,Inter-Religion
55,Arranged,28,Female,Graduate,Same,Hindu,Yes,Urban,No,Medium,No,0,Low,23,No,No,No
56,Arranged,33,Male,Graduate,Same,Hindu,Yes,Urban,Yes,Medium,No,4,High,5,No,No,No
57,Arranged,27,Female,Graduate,Same,Hindu,Yes,Rural,No,Medium,No,0,Middle,44,No,No,No
58,Love,24,Male,Graduate,Same,Hindu,Yes,Urban,Yes,High,No,2,Low,38,Yes,No,No
59,Love,18,Female,School,Different,Others,No,Urban,No,High,No,5,Middle,28,Yes,No,No
60,Love,22,Male,Graduate,Same,Sikh,Partial,Urban,No,Medium,No,2,Low,48,Yes,Yes,No
61,Love,24,Female,Graduate,Same,Sikh,Yes,Urban,No,Medium,No,5,Middle,39,No,No,No
62,Love,36,Male,Postgraduate,Different,Muslim,Yes,Rural,Yes,Medium,No,2,Middle,45,No,No,No
63,Love,28,Female,Graduate,Same,Hindu,Partial,Rural,Yes,Medium,No,1,Middle,15,No,No,No
64,Love,24,Male,Graduate,Same,Hindu,Yes,Rural,No,High,No,2,High,17,No,Yes,Yes
65,Arranged,37,Male,School,Same,Hindu,Yes,Rural,Yes,Low,No,1,Middle,23,No,No,No
66,Arranged,22,Female,School,Same,Hindu,Partial,Urban,No,Medium,No,3,Low,17,No,No,No
67,Love,24,Female,Graduate,Same,Hindu,Yes,Urban,Yes,Medium,No,5,High,31,No,No,No
68,Arranged,36,Male,Graduate,Same,Hindu,Yes,Rural,Not Disclosed,Low,No,1,High,30,Yes,No,No
69,Love,36,Female,Graduate,Same,Sikh,Yes,Urban,No,High,No,1,Middle,21,No,No,No
70,Love,28,Male,Graduate,Same,Others,Yes,Urban,No,Medium,Yes,1,Middle,7,Yes,No,Yes
71,Arranged,38,Female,School,Same,Hindu,Yes,Rural,No,High,No,4,Low,49,No,Yes,Yes
72,Arranged,22,Female,Graduate,Same,Hindu,Partial,Rural,No,Medium,No,0,High,26,No,No,No
73,Love,23,Male,School,Same,Others,Partial,Urban,Yes,High,No,1,Middle,38,Yes,No,No
74,Arranged,32,Female,PhD,Same,Hindu,No,Urban,Yes,Medium,No,2,Low,42,No,No,No
75,Arranged,21,Female,School,Same,Hindu,Yes,Urban,No,High,No,1,Middle,10,No,No,No
76,Love,25,Male,Postgraduate,Same,Muslim,Yes,Urban,No,Medium,No,0,Middle,46,No,No,No
77,Arranged,26,Female,School,Same,Muslim,Yes,Rural,No,Low,No,2,Low,28,Yes,No,No
78,Love,24,Female,Postgraduate,Same,Hindu,Partial,Urban,No,Medium,No,4,Low,44,No,No,No
79,Arranged,32,Male,Graduate,Same,Hindu,Yes,Urban,No,High,No,5,Middle,29,No,No,No
80,Love,23,Male,Graduate,Different,Hindu,Yes,Urban,Yes,Medium,No,3,Low,42,No,No,No
81,Arranged,35,Female,School,Different,Muslim,Yes,Urban,No,Medium,No,0,Middle,47,Yes,No,Yes
82,Arranged,28,Female,Postgraduate,Same,Christian,Yes,Urban,No,Medium,No,4,Low,12,No,No,No
83,Arranged,31,Female,School,Same,Hindu,Yes,Urban,Yes,High,No,1,Middle,44,No,No,No
84,Love,26,Male,Graduate,Same,Hindu,Yes,Rural,No,Medium,No,3,High,7,Yes,Yes,No
85,Arranged,34,Male,School,Different,Muslim,Yes,Urban,No,High,No,2,Middle,44,Yes,Yes,No
86,Arranged,32,Female,School,Same,Others,Yes,Rural,No,Low,No,4,Middle,42,No,No,No
87,Arranged,22,Female,Graduate,Same,Christian,Yes,Rural,No,Medium,No,0,Middle,39,Yes,No,No
88,Arranged,34,Female,Graduate,Different,Hindu,Partial,Rural,Yes,High,No,0,High,12,Yes,No,No
89,Arranged,33,Female,Graduate,Same,Sikh,Yes,Rural,No,Medium,No,5,Low,28,No,No,No
90,Arranged,28,Male,Graduate,Same,Christian,Yes,Rural,No,Low,No,5,Low,48,Yes,No,No
91,Arranged,26,Male,School,Different,Muslim,Yes,Urban,No,Medium,No,3,Middle,8,No,No,No
92,Arranged,39,Male,PhD,Same,Hindu,Yes,Urban,No,High,No,0,Low,10,Yes,Yes,No
93,Arranged,19,Female,School,Same,Hindu,Yes,Urban,No,Medium,No,4,High,29,No,No,No
94,Love,29,Female,PhD,Same,Muslim,Yes,Urban,No,Medium,Yes,1,Middle,14,No,No,No
95,Love,19,Female,PhD,Same,Hindu,Yes,Rural,No,High,No,0,Low,38,Yes,Yes,No
96,Arranged,18,Female,School,Same,Muslim,No,Urban,No,Medium,No,3,Middle,48,Yes,No,No
97,Arranged,38,Female,School,Different,Hindu,Yes,Rural,Not Disclosed,Low,Yes,3,Middle,30,Yes,No,No
98,Love,38,Female,School,Same,Hindu,Yes,Urban,No,High,No,1,Middle,28,Yes,Yes,No
99,Arranged,39,Male,Postgraduate,Different,Hindu,Yes,Urban,No,High,No,4,Middle,7,No,No,Yes
100,Arranged,22,Female,Graduate,Same,Hindu,Yes,Rural,No,Medium,No,1,High,36,Yes,No,No
101,Love,21,Female,Graduate,Different,Hindu,Yes,Rural,Yes,Low,No,3,Middle,18,Yes,No,No
102,Arranged,37,Male,Postgraduate,Same,Christian,Yes,Urban,No,Medium,No,3,Middle,40,No,No,No
103,Arranged,18,Male,Graduate,Different,Christian,Yes,Urban,No,Low,No,3,Low,47,Yes,Yes,No
104,Love,19,Female,School,Same,Hindu,Yes,Urban,No,Low,Yes,2,Middle,28,Yes,No,No
105,Love,21,Female,Postgraduate,Same,Hindu,No,Urban,No,High,No,5,High,46,Yes,No,No
106,Love,28,Female,Graduate,Same,Hindu,Yes,Urban,Yes,Medium,No,3,Middle,33,Yes,Yes,No
107,Love,26,Male,Postgraduate,Same,Hindu,Yes,Urban,No,Medium,Yes,3,Middle,12,Yes,No,No
108,Love,33,Male,Graduate,Same,Christian,Yes,Urban,No,Medium,Yes,5,Middle,38,No,No,No
109,Love,27,Female,Postgraduate,Different,Hindu,Yes,Rural,No,High,No,3,Middle,49,No,No,Yes
110,Arranged,37,Male,Graduate,Same,Muslim,Partial,Urban,No,Medium,No,2,Middle,42,No,No,No
111,Love,33,Female,School,Same,Hindu,Yes,Urban,Yes,Medium,No,5,Middle,9,No,No,No
112,Love,30,Female,School,Different,Christian,Yes,Urban,No,Low,No,0,Middle,25,Yes,No,No
113,Arranged,19,Female,School,Same,Hindu,Yes,Rural,Not Disclosed,Medium,No,5,Middle,43,Yes,No,No
114,Arranged,31,Female,Graduate,Same,Muslim,Partial,Rural,No,Medium,Yes,1,High,30,No,No,No
115,Arranged,22,Female,Graduate,Different,Hindu,Partial,Rural,No,Medium,No,4,Middle,24,Yes,No,No
116,Arranged,26,Female,Graduate,Same,Hindu,Yes,Urban,Yes,Medium,No,0,High,5,Yes,No,No
117,Love,32,Male,Postgraduate,Same,Christian,Yes,Urban,No,Medium,No,3,Low,27,Yes,No,No
118,Love,19,Male,School,Same,Hindu,Yes,Urban,No,Medium,No,5,Middle,4,No,Yes,No
119,Love,25,Male,School,Same,Muslim,Yes,Urban,No,High,No,5,Middle,10,Yes,No,No
120,Arranged,38,Female,Postgraduate,Same,Christian,Partial,Urban,No,Medium,No,3,Middle,18,Yes,No,No
121,Arranged,37,Female,Graduate,Same,Hindu,Partial,Urban,No,Medium,No,0,Low,32,No,Yes,No
122,Arranged,21,Male,Postgraduate,Same,Christian,Yes,Rural,No,High,No,5,Middle,2,No,Yes,No
123,Arranged,20,Female,Graduate,Same,Muslim,No,Rural,No,Low,No,1,Middle,15,Yes,Yes,No
124,Arranged,36,Male,School,Different,Hindu,Yes,Rural,No,High,No,4,High,44,No,No,No
125,Arranged,20,Male,Postgraduate,Different,Hindu,Yes,Rural,Not Disclosed,Low,No,0,High,15,Yes,Yes,No
126,Arranged,39,Female,Graduate,Different,Muslim,Yes,Urban,No,Medium,No,1,Middle,40,No,No,Yes
127,Love,29,Male,School,Same,Muslim,Yes,Urban,Yes,High,No,4,Middle,39,No,No,No
128,Love,22,Female,Graduate,Same,Muslim,Yes,Urban,No,Low,No,3,High,43,No,No,No
129,Arranged,22,Female,Postgraduate,Same,Hindu,No,Rural,No,Medium,No,5,Middle,43,Yes,No,Yes
130,Arranged,22,Female,Postgraduate,Same,Christian,No,Urban,No,Low,No,1,Middle,15,No,Yes,No
131,Love,29,Male,School,Same,Hindu,Yes,Urban,No,High,Yes,0,Middle,33,No,No,Yes
132,Love,29,Female,PhD,Different,Hindu,No,Urban,Yes,Medium,No,5,Middle,44,Yes,Yes,No
133,Love,30,Male,Graduate,Different,Hindu,Yes,Urban,No,Medium,No,1,Middle,38,Yes,No,No
134,Love,28,Male,PhD,Different,Christian,Yes,Urban,No,Medium,No,3,Middle,22,Yes,No,No
135,Love,38,Female,Graduate,Different,Hindu,Partial,Urban,No,Medium,No,2,Low,5,Yes,No,No
136,Love,22,Female,Graduate,Different,Hindu,No,Rural,No,Medium,No,0,Low,40,Yes,Yes,No
137,Arranged,23,Female,Graduate,Same,Hindu,Yes,Urban,No,Medium,No,3,Middle,46,No,No,No
138,Arranged,38,Male,Graduate,Same,Hindu,Yes,Rural,No,Medium,No,2,Middle,24,Yes,Yes,No
139,Love,23,Male,Graduate,Same,Hindu,Yes,Urban,No,Medium,No,5,Middle,28,Yes,No,No
140,Arranged,29,Male,School,Different,Sikh,Yes,Urban,No,High,No,4,Middle,37,Yes,No,No
141,Arranged,24,Male,School,Same,Hindu,Yes,Urban,No,Low,Yes,2,Middle,35,No,No,No
142,Love,27,Female,Postgraduate,Same,Hindu,Yes,Urban,Yes,High,No,2,Middle,23,No,No,No
143,Arranged,28,Male,Graduate,Different,Hindu,Yes,Rural,No,High,Yes,1,Middle,39,No,No,No
144,Love,37,Male,PhD,Different,Hindu,Partial,Urban,No,Medium,No,4,Middle,15,No,No,Yes
145,Arranged,38,Male,School,Same,Hindu,Yes,Urban,Yes,High,No,3,Low,17,Yes,No,No
146,Arranged,19,Male,Graduate,Same,Muslim,Yes,Urban,No,Medium,No,1,Middle,24,Yes,No,No
147,Arranged,33,Female,Graduate,Same,Hindu,Partial,Urban,Yes,Low,No,4,Low,35,Yes,Yes,No
148,Love,19,Male,Postgraduate,Same,Hindu,Yes,Urban,No,High,No,1,Low,25,Yes,No,No
149,Love,24,Female,Graduate,Different,Hindu,Yes,Rural,No,High,No,5,Low,7,No,No,No
150,Love,19,Male,PhD,Same,Sikh,Yes,Rural,No,Medium,No,2,Middle,26,Yes,No,No
151,Arranged,18,Female,School,Same,Others,Yes,Rural,No,High,No,4,Middle,19,No,No,No
152,Arranged,22,Male,School,Same,Hindu,Yes,Urban,No,Medium,No,1,Middle,39,No,No,No
153,Love,23,Male,Graduate,Same,Others,Yes,Urban,No,Low,No,4,Middle,26,Yes,Yes,No
154,Arranged,18,Female,Graduate,Same,Muslim,Yes,Rural,No,Medium,No,4,High,2,No,No,Yes
155,Arranged,38,Female,Graduate,Same,Muslim,Yes,Urban,No,Low,No,0,Middle,33,Yes,No,No
156,Arranged,32,Male,Graduate,Same,Muslim,No,Urban,No,Medium,No,2,Low,12,No,No,No
157,Arranged,28,Female,PhD,Same,Hindu,Yes,Urban,No,Low,No,2,High,38,No,No,No
158,Love,24,Male,School,Same,Hindu,Partial,Urban,No,Medium,No,5,Middle,48,Yes,No,No
159,Love,32,Male,Graduate,Same,Muslim,Yes,Urban,Not Disclosed,High,No,1,High,23,No,Yes,No
160,Arranged,32,Male,Postgraduate,Same,Hindu,Yes,Rural,No,Medium,No,2,Low,16,Yes,Yes,No
161,Love,20,Male,School,Different,Others,Partial,Urban,No,High,No,4,High,30,No,No,Yes
162,Love,26,Female,Graduate,Different,Muslim,Yes,Urban,No,Medium,No,1,High,47,No,No,No
163,Love,26,Male,Graduate,Same,Others,Yes,Urban,No,Medium,No,3,Low,40,No,No,No
164,Arranged,38,Male,School,Different,Muslim,Yes,Urban,No,High,No,5,Middle,32,No,No,No
165,Love,23,Female,Graduate,Different,Muslim,Yes,Urban,No,High,No,1,Low,2,No,Yes,No
166,Arranged,39,Male,School,Same,Christian,No,Rural,No,Medium,No,3,Middle,26,No,No,No
167,Arranged,39,Male,Graduate,Same,Hindu,Yes,Urban,No,Low,No,4,Middle,39,No,Yes,No
168,Arranged,19,Male,Graduate,Same,Muslim,Yes,Rural,Yes,Low,No,5,Low,14,Yes,No,No
169,Arranged,22,Male,PhD,Same,Christian,Yes,Urban,Yes,Medium,No,4,Middle,16,Yes,No,No
170,Arranged,20,Female,Graduate,Same,Muslim,Yes,Urban,Yes,Low,No,4,Middle,16,Yes,No,Yes
171,Love,38,Male,School,Same,Hindu,No,Rural,No,Medium,No,5,Low,32,No,No,No
172,Arranged,33,Male,School,Different,Sikh,Yes,Rural,No,High,No,5,Middle,48,Yes,No,No
173,Arranged,22,Male,Graduate,Same,Hindu,Yes,Rural,No,Medium,No,4,Low,7,Yes,No,No
174,Love,27,Male,Graduate,Different,Hindu,Yes,Rural,No,Medium,Yes,2,Middle,39,Yes,No,No
175,Love,22,Male,School,Same,Hindu,Yes,Urban,No,High,No,5,Low,12,No,No,No
176,Arranged,20,Female,School,Same,Hindu,Yes,Rural,No,Medium,No,0,Middle,40,Yes,Yes,Yes
177,Arranged,19,Male,School,Same,Christian,Yes,Urban,Yes,High,No,5,Middle,23,Yes,Yes,No
178,Love,28,Male,PhD,Different,Hindu,Yes,Urban,Yes,Low,No,2,Low,34,Yes,No,No
179,Arranged,18,Male,PhD,Same,Muslim,Yes,Rural,No,Medium,No,3,Low,24,No,Yes,No
180,Arranged,34,Female,School,Different,Hindu,Partial,Rural,Not Disclosed,High,No,0,Low,49,No,No,Yes
181,Arranged,31,Female,Graduate,Same,Hindu,Partial,Urban,No,Medium,No,3,Middle,39,No,No,No
182,Love,36,Male,Postgraduate,Same,Hindu,Yes,Urban,Yes,High,No,4,Low,17,No,No,No
183,Arranged,29,Male,Postgraduate,Same,Hindu,Yes,Rural,No,Medium,No,1,Middle,25,Yes,No,No
184,Arranged,38,Male,School,Same,Hindu,Yes,Rural,No,High,No,5,High,15,No,No,No
185,Arranged,26,Female,Postgraduate,Same,Muslim,Yes,Urban,Yes,Medium,No,4,High,45,No,Yes,No
186,Love,36,Male,Graduate,Same,Hindu,Yes,Urban,No,Medium,No,1,Low,6,No,No,No
187,Love,36,Male,Graduate,Same,Muslim,Yes,Rural,No,Low,No,0,Middle,18,Yes,No,No
188,Arranged,22,Female,School,Same,Hindu,Yes,Urban,Yes,Medium,No,5,High,10,Yes,No,No
189,Arranged,37,Female,School,Same,Hindu,Partial,Urban,Yes,Low,No,1,Middle,47,Yes,Yes,No
190,Love,31,Male,Graduate,Different,Christian,Yes,Rural,Yes,High,Yes,1,Middle,36,No,Yes,Yes
191,Arranged,19,Male,School,Same,Hindu,Yes,Rural,No,Medium,No,2,Middle,9,Yes,No,No
192,Arranged,24,Male,School,Different,Muslim,Yes,Urban,No,High,No,5,Low,49,No,No,No
193,Arranged,24,Male,Graduate,Same,Hindu,Yes,Urban,No,High,No,4,Low,23,No,No,No
194,Love,30,Male,School,Different,Hindu,Yes,Rural,Not Disclosed,Low,No,1,Middle,3,Yes,No,No
195,Arranged,22,Male,School,Same,Hindu,Partial,Rural,No,Medium,No,0,Middle,24,No,No,Yes
196,Love,35,Female,Postgraduate,Same,Christian,Yes,Urban,No,Low,No,4,High,42,Yes,No,No
197,Love,22,Female,Graduate,Same,Hindu,Yes,Urban,No,Medium,No,1,Low,12,No,No,No
198,Love,39,Male,Graduate,Different,Hindu,Partial,Rural,No,High,No,5,Low,39,Yes,No,No
199,Love,25,Female,Graduate,Same,Hindu,Yes,Urban,No,Medium,Yes,5,Middle,34,Yes,No,No
200,Love,21,Female,School,Different,Hindu,Yes,Rural,No,Low,No,3,Middle,22,Yes,No,No
201,Love,23,Female,Graduate,Same,Muslim,Yes,Urban,Yes,High,No,5,Low,35,No,No,Yes
202,Arranged,21,Male,Postgraduate,Same,Hindu,Partial,Urban,Not Disclosed,Low,No,2,High,21,Yes,No,Yes
203,Love,25,Female,Graduate,Same,Hindu,No,Rural,No,Medium,No,4,Low,48,Yes,No,No
204,Arranged,32,Female,Postgraduate,Same,Hindu,Yes,Urban,No,Medium,No,3,High,12,No,Yes,No
205,Love,26,Male,Postgraduate,Different,Hindu,Yes,Urban,No,Medium,Yes,3,Middle,11,Yes,No,No
206,Love,29,Male,Graduate,Different,Hindu,Yes,Urban,No,Low,No,0,Middle,6,No,No,No
207,Arranged,23,Female,School,Same,Hindu,No,Urban,No,Medium,No,1,Middle,33,Yes,No,No
208,Arranged,25,Male,Graduate,Same,Hindu,Yes,Urban,No,High,No,4,Middle,1,No,No,No
209,Arranged,24,Male,Postgraduate,Same,Christian,No,Urban,Yes,High,No,5,High,16,Yes,No,No
210,Arranged,19,Male,PhD,Same,Hindu,Yes,Urban,No,High,No,3,High,44,No,Yes,No
211,Arranged,29,Female,PhD,Different,Muslim,Yes,Urban,No,Low,No,2,High,48,No,No,No
212,Arranged,21,Female,Graduate,Different,Hindu,Yes,Rural,No,Low,No,2,Middle,2,No,No,Yes
213,Love,37,Female,School,Same,Christian,Yes,Urban,No,High,Yes,1,Middle,48,No,No,No
214,Love,28,Male,Postgraduate,Same,Hindu,Yes,Urban,Yes,Medium,No,2,High,17,No,Yes,No
215,Arranged,28,Male,Postgraduate,Same,Hindu,Yes,Rural,Yes,High,No,5,High,47,Yes,No,No
216,Arranged,24,Female,School,Different,Christian,Partial,Urban,Not Disclosed,Low,Yes,3,High,43,Yes,No,Yes
217,Arranged,21,Female,Postgraduate,Same,Muslim,Yes,Rural,No,Medium,Yes,4,Low,48,No,No,No
218,Love,26,Female,School,Same,Hindu,Yes,Urban,Yes,Medium,No,1,Middle,30,Yes,No,Yes
219,Arranged,18,Female,Postgraduate,Same,Christian,Yes,Rural,No,High,No,1,Middle,31,Yes,No,No
220,Arranged,25,Male,PhD,Same,Hindu,Yes,Rural,No,Low,No,0,Low,25,Yes,Yes,No
221,Arranged,23,Female,PhD,Same,Others,Yes,Rural,Not Disclosed,Medium,No,5,High,42,Yes,No,No
222,Arranged,30,Female,Graduate,Different,Hindu,Yes,Urban,No,Medium,No,4,High,44,No,Yes,No
223,Arranged,33,Female,Graduate,Same,Hindu,No,Rural,No,Medium,No,5,Low,6,Yes,No,No
224,Arranged,37,Female,Postgraduate,Same,Others,No,Urban,No,Low,No,5,Middle,27,Yes,No,Yes
225,Love,20,Male,School,Different,Hindu,Yes,Urban,No,High,No,5,Low,14,Yes,Yes,Yes
226,Arranged,31,Female,Graduate,Same,Muslim,Yes,Rural,No,High,Yes,5,Middle,3,No,No,No
227,Arranged,32,Male,School,Same,Hindu,No,Urban,Yes,High,No,1,Low,30,Yes,No,No
228,Arranged,21,Female,Graduate,Same,Hindu,Yes,Rural,Yes,Low,No,2,Middle,36,No,No,No
229,Arranged,31,Female,Postgraduate,Different,Hindu,Yes,Rural,Yes,High,No,2,Middle,4,Yes,No,Yes
230,Love,29,Male,School,Same,Hindu,Yes,Urban,Yes,Medium,No,0,High,9,No,No,No
231,Arranged,35,Male,PhD,Same,Muslim,No,Urban,Yes,Medium,No,1,Middle,3,Yes,Yes,No
232,Arranged,38,Male,Graduate,Different,Hindu,Yes,Urban,Yes,High,No,3,Middle,38,No,No,No
233,Arranged,22,Female,PhD,Same,Hindu,Yes,Urban,No,Medium,No,2,Middle,17,No,No,Yes
234,Arranged,19,Male,School,Same,Hindu,No,Rural,No,Low,No,5,High,15,Yes,No,No
235,Arranged,20,Female,Graduate,Same,Hindu,Yes,Rural,No,Low,No,2,Middle,14,Yes,Yes,No
236,Love,26,Male,Graduate,Same,Muslim,Partial,Rural,No,High,No,0,Middle,36,Yes,No,No
237,Arranged,33,Male,Graduate,Same,Hindu,Yes,Urban,Yes,Medium,No,0,Middle,48,Yes,No,No
238,Arranged,20,Female,Graduate,Same,Muslim,Partial,Rural,No,Medium,No,1,Middle,18,Yes,No,No
239,Love,23,Female,Postgraduate,Different,Hindu,Yes,Urban,Yes,Medium,No,1,Middle,9,Yes,Yes,No
240,Arranged,27,Male,School,Same,Hindu,Yes,Urban,No,Low,No,4,Middle,14,No,No,No
241,Love,37,Male,Graduate,Same,Muslim,Yes,Rural,Yes,Medium,No,4,Middle,9,Yes,Yes,No
242,Arranged,25,Male,Graduate,Different,Hindu,Yes,Rural,Yes,Medium,No,0,Low,16,No,No,No
243,Arranged,28,Male,Postgraduate,Same,Hindu,Yes,Urban,Not Disclosed,Medium,No,5,Middle,18,Yes,No,No
244,Arranged,37,Male,School,Same,Muslim,Yes,Urban,No,Medium,No,2,Middle,24,No,Yes,Yes
245,Arranged,27,Female,School,Same,Hindu,Yes,Rural,No,Low,No,0,High,24,Yes,No,No
246,Arranged,33,Female,Graduate,Same,Hindu,Yes,Rural,No,High,Yes,2,Low,32,No,Yes,No
247,Love,38,Female,Postgraduate,Same,Hindu,Yes,Rural,Yes,Medium,Yes,1,High,25,Yes,No,No
248,Love,25,Male,Graduate,Same,Hindu,Yes,Rural,Yes,Medium,No,0,Middle,37,No,No,No
249,Love,32,Male,Postgraduate,Different,Hindu,Partial,Urban,No,Low,No,2,Middle,2,No,No,No
250,Love,20,Female,School,Same,Hindu,Yes,Urban,No,Medium,No,5,Middle,20,No,No,No
251,Arranged,37,Male,Graduate,Same,Hindu,Yes,Urban,No,Medium,No,1,Middle,16,No,Yes,Yes
